paramid,PIndPriCnt,covmode,covtyp,kmnsinit,nK,selscores,ensscores,ensweights
0,5,individual,full,20,11,-77510.64665238053,-77510.64665238053,0.9999997875462846
1,5,individual,full,20,10,-77526.0111938504,-77526.0111938504,2.124537153713475e-07
2,5,individual,full,20,9,-77607.43682477996,-77607.43682477996,9.21641733672504e-43
3,5,individual,full,20,8,-77834.08850182133,-77834.08850182133,3.3961704510650773e-141
4,5,individual,full,20,7,-77915.90883992563,-77915.90883992563,9.928145490838617e-177
5,5,individual,full,20,6,-77986.48480773263,-77986.48480773263,2.2187826402027114e-207
6,5,individual,full,20,5,-78271.98826928782,-78271.98826928782,0.0
7,5,individual,full,20,4,-78917.2915182791,-78917.2915182791,0.0
8,5,individual,full,20,3,-79896.24333659551,-79896.24333659551,0.0
9,5,individual,full,20,2,-81022.75914023435,-81022.75914023435,0.0
10,5,individual,full,20,1,-101762.59266529517,-101762.59266529517,0.0
